# name	lat	lon	modern_name	verses	slug	score
En-rogel	31.7672	35.2360	Bir Ayub	6	en-rogel	793
En-shemesh	31.7741	35.2701	Ein Haud	2	en-shemesh	741
En-tappuah	32.1041	35.2301	Tell Abu Zarad	2	en-tappuah	357
Enaim	31.6877	35.0124	Khirbet Beit Ika	2	enaim	54
Enam	31.6877	35.0124	Khirbet Beit Ika	1	enam	107
Eneglaim	31.2806	35.5336	Mutraba	1	eneglaim	120
Engedi	31.4500	35.3833	Ein Gedi	6	engedi	1000
Ephah	28.4947	35.0122	Al Bad	1	ephah	1000
Ephes-dammim	31.6845	35.0522	Khirbet Damun	3	ephes-dammim	577
Ephesus	37.9391	27.3407	Ephesus	20	ephesus	1000
Ephraim 1	31.9544	35.3003	Taybeh	1	ephraim-1	477
Ephraim 2	31.9544	35.3003	Taybeh	1	ephraim-2	446
Ephraim 3	32.3811	35.7647	Ajloun Forest Reserve	1	ephraim-3	1000
Ephraim Gate	31.7767	35.2342	Jerusalem	4	ephraim-gate	1000
Ephrath	31.7043	35.2076	Bethlehem	3	ephrath	1000
Ephrathah	31.7043	35.2076	Bethlehem	2	ephrathah	1000
Ephron 1	31.7969	35.1442	Al Qastal	1	ephron-1	426
Ephron 2	31.9544	35.3003	Taybeh	1	ephron-2	424
Erech	31.3222	45.6361	Uruk	2	erech	1000
Eridu	30.8158	45.9958	Tell Abu Shahrain	0	eridu	1000
Esek	31.4245	34.6062	between Gerar and Beersheba	1	esek	476
Eshan	31.5566	35.0335	Khirbet et Taiyiba	1	eshan	215
Eshtaol	31.7977	34.9860	Khirbet Deir Shubeib	8	eshtaol	337
Eshtemoa	31.4008	35.0671	As Samu	4	eshtemoa	722
Etam 1	31.7637	35.0258	Arak Ismain	2	etam-1	816
Etam 2	31.6848	35.1788	Khirbet el Khokh	1	etam-2	248
Etam 3	31.6848	35.1788	Khirbet el Khokh	1	etam-3	747
Eth-kazin	32.7465	35.3392	Kefr Kenna	1	eth-kazin	288
Etham	30.8610	32.3523	Tell Abu Sefeh	4	etham	135
Ether 1	31.6159	34.8783	Khirbet el Ater	1	ether-1	751
Ether 2	31.6159	34.8783	Khirbet el Ater	1	ether-2	320
Ethiopia	16.9351	33.7507	Meroe	7	ethiopia	1000
Etruria	42.2279	11.8389	Etruria	0	etruria	1000
Euphrates	31.0043	47.4420	Euphrates River	44	euphrates	1000
Ezel	31.8575	35.2611	Jaba	2	ezel	0
Ezem	31.2814	34.7974	Khirbet Asan	3	ezem	616
Ezion-geber	29.4628	34.8601	Jezirat Faraun	7	ezion-geber	360
Fair Havens	34.9297	24.8003	Kaloi Limenes	2	fair-havens	1000
Fish Gate	31.7767	35.2342	Jerusalem	4	fish-gate	1000
Forum of Appius	41.4664	12.9975	Forum Appii	1	forum-of-appius	1000
Fountain Gate	31.7767	35.2342	Jerusalem	3	fountain-gate	1000
Gaash	32.0081	35.1073	Khirbet Tibnah	4	gaash	671
Gabbatha	31.7761	35.2280	Herod’s palace in Jerusalem	1	gabbatha	605
Gadara	32.6560	35.6794	Umm Qais	1	gadara	1000
Galatia	39.2667	32.9833	Galatia	6	galatia	1000
Galilee 1	32.7600	35.5270	Galilee	78	galilee-1	1000
Galilee 2	32.7600	35.5270	Galilee	1	galilee-2	498
Gallim	31.8154	35.2508	Khirbet Kakul	2	gallim	387
Gamad	33.6238	35.8210	Kamid el Loz	1	gamad	480
Gareb	31.7767	35.2342	Jerusalem	1	gareb	1000
Gate of the Foundation	31.7767	35.2342	Jerusalem	1	gate-of-the-foundation	1000
Gate of the Guard	31.7767	35.2342	Jerusalem	1	gate-of-the-guard	1000
Gate of Yeshanah	31.7767	35.2342	Jerusalem	2	gate-of-yeshanah	1000
Gath 1	31.6997	34.8469	Tell es Safi	38	gath-1	850
Gath 2	32.3984	35.0401	Jett	2	gath-2	302
Gath 3	31.6997	34.8469	Tell es Safi	2	gath-3	679
Gath-hepher	32.7381	35.3197	Tel Gat Hefer	2	gath-hepher	789
Gath-padalla	32.3984	35.0401	Jett	0	gath-padalla	752
Gath-rimmon 1	32.0917	34.8075	Tel Gerisa	3	gath-rimmon-1	338
Gath-rimmon 2	32.4462	35.2920	Khirbet Belameh	1	gath-rimmon-2	365
Gaza	31.5040	34.4644	Tell Harube	22	gaza	1000
Ge-harashim	31.9500	34.9000	Lod	2	ge-harashim	491
Geba 1	31.8575	35.2611	Jaba	14	geba-1	740
Geba 2	31.8475	35.1834	El Jib	1	geba-2	700
Geba 3	31.8575	35.2611	Jaba	2	geba-3	437
Geba 4	31.8575	35.2611	Jaba	1	geba-4	541
Gebal 1	34.1192	35.6458	Byblos	3	gebal-1	939
Gebal 2	30.5220	35.5506	between the Dead Sea and Petra	1	gebal-2	544
Gebim	31.8075	35.2576	Ras el Kharruba	1	gebim	221
Geder	31.6326	35.0921	Khirbet Jedur	2	geder	422
Gederah 1	31.6889	34.9961	Khirbet Judraya	1	gederah-1	551
Gederah 2	31.8579	35.1973	Jedireh	1	gederah-2	283
Gederah 3	31.6889	34.9961	Khirbet Judraya	1	gederah-3	486
Gederoth	31.6889	34.9961	Khirbet Judraya	2	gederoth	98
Gederothaim	31.6889	34.9961	Khirbet Judraya	1	gederothaim	290
Gedor 1	31.6326	35.0921	Khirbet Jedur	2	gedor-1	806
Gedor 2	31.3821	34.6065	Tel Haror	1	gedor-2	271
Gedor 3	31.6326	35.0921	Khirbet Jedur	1	gedor-3	544
Gedor 4	31.6326	35.0921	Khirbet Jedur	1	gedor-4	441
Geliloth	31.7905	35.3226	Araq ed Deir	3	geliloth	352
Gennesaret	32.8606	35.5072	El Ghuweir	3	gennesaret	1000
Gerar	31.3821	34.6065	Tel Haror	9	gerar	694
Gerasa	32.2723	35.8914	Jerash	3	gerasa	1000
Gergesa	32.8261	35.6504	Kursi	0	gergesa	1000
Geruth Chimham	31.7043	35.2076	Bethlehem	1	geruth-chimham	963
Geshur	32.7667	35.7000	Fiq	11	geshur	435
Gethsemane	31.7794	35.2394	Gethsemane	2	gethsemane	1000
Gezer	31.8592	34.9192	Tel Gezer	14	gezer	942
Giah	31.8410	35.2795	east of Gibeon	1	giah	402
Gibbar	31.8475	35.1834	El Jib	1	gibbar	235
Gibbethon	31.8564	34.8656	Tell Melat	5	gibbethon	530
Gibea	31.6751	35.0762	Jab’a	1	gibea	1
Gibeah 1	31.8231	35.2307	Tel el Ful	45	gibeah-1	669
Gibeah 2	31.4502	35.0535	south of Hebron	2	gibeah-2	448
Gibeah 3	31.9855	35.2439	Burj el Bardawil	1	gibeah-3	215
Gibeah 4	31.8231	35.2307	Tel el Ful	1	gibeah-4	308
Gibeath-elohim	31.8231	35.2307	Tel el Ful	1	gibeath-elohim	244
Gibeath-haaraloth	31.8819	35.4600	Khirbet el Mefjir	1	gibeath-haaraloth	416
Gibeon	31.8475	35.1834	El Jib	39	gibeon	912
Gidom	31.8476	35.3051	El Jai Cave	1	gidom	97
Gihon 1	31.4653	30.3667	Nile River	1	gihon-1	193
Gihon 2	31.7729	35.2364	Gihon Spring	6	gihon-2	1000
Gilead 1	32.1870	35.6921	Tell edh Dhahab esh Sherqiyeh	86	gilead-1	694
Gilead 2	32.1870	35.6921	Tell edh Dhahab esh Sherqiyeh	1	gilead-2	239
Gilgal 1	31.8819	35.4600	Khirbet el Mefjir	33	gilgal-1	556
Gilgal 2	32.0306	35.2250	Jiljilyya	2	gilgal-2	318
Gilgal 3	31.7905	35.3226	Araq ed Deir	1	gilgal-3	162
Gilgal 4	31.8819	35.4600	Khirbet el Mefjir	1	gilgal-4	103
Giloh	31.4321	35.0149	Khirbet Rabud	3	giloh	427
Gimzo	31.9297	34.9468	Jimzu	1	gimzo	805
Gittaim	31.9030	34.8899	Ras Abu Hamid	2	gittaim	486
Goah	31.7767	35.2342	Jerusalem	1	goah	1000
Gob	31.8592	34.9192	Tel Gezer	2	gob	300
Gog	38.4883	28.0403	Sardis	1	gog	387
Goiim 1	33.5111	36.3064	Damascus	2	goiim-1	269
Goiim 2	32.7600	35.5270	Galilee	1	goiim-2	241
Golan	32.7811	35.9347	Saham al Jawlan	4	golan	680
Golgotha	31.7784	35.2298	Church of the Holy Sepulchre	4	golgotha	426
Gomer	39.0000	32.0000	Asia Minor	1	gomer	1000
Gomorrah	31.2085	35.4492	south of the Lisan	24	gomorrah	236
Goshen 1	30.7994	31.8342	Qantir	11	goshen-1	519
Goshen 2	31.4076	34.9723	Dahriya	2	goshen-2	153
Goshen 3	31.4076	34.9723	Dahriya	1	goshen-3	342
Gozan	36.8268	40.0397	Tell Halaf	5	gozan	829
Great Sea	31.8048	34.1703	Mediterranean Sea	36	great-sea	1000
Greece	37.9719	23.7267	Athens	7	greece	1000
Gulloth-mayim	31.4321	35.0149	Khirbet Rabud	2	gulloth-mayim	775
Gur	32.4441	35.2966	Khirbet en Najjar	1	gur	566
Gurbaal	30.7458	35.6039	Buseira	1	gurbaal	541
Gutium	34.3875	47.1321	Kermanshah	0	gutium	1000
Habor	35.1303	40.4273	Khabur River	3	habor	879
Hachilah	31.4703	35.2228	Zahrat al Kula	3	hachilah	463
Hadad-rimmon	32.5244	35.2041	Rummanah	1	hadad-rimmon	242
Hadashah	31.6269	34.8457	between Lachish and Gath	1	hadashah	620
Hadid	31.9633	34.9518	Al Haditha	3	hadid	838
Hadrach	35.9050	36.7986	Tell Afis	1	hadrach	789
Haeleph	31.8025	35.2096	Khirbet Salah	1	haeleph	147
Hakkephirim	32.0272	34.8681	Kafr Ana	1	hakkephirim	758
Halah	36.4317	43.1946	Al Abbasiyah	4	halah	396
Halahha	36.4317	43.1946	Al Abbasiyah	0	halahha	558
Halhul	31.5774	35.1073	Halhul	1	halhul	881
Hali	32.7718	35.1557	Tel Alil	1	hali	644
Hall of Judgment	31.7767	35.2342	Jerusalem	1	hall-of-judgment	1000
Hall of Pillars	31.7767	35.2342	Jerusalem	1	hall-of-pillars	1000
Hall of the Throne	31.7767	35.2342	Jerusalem	1	hall-of-the-throne	1000
Ham 1	32.5142	35.8124	Tell Ham	1	ham-1	599
Ham 2	30.1294	31.3075	Ain Shams	4	ham-2	1169
Hamath 1	35.1365	36.7500	Hama	21	hamath-1	957
Hamath 2	35.1365	36.7500	Hama	2	hamath-2	1077
Hamath-zobah	35.1365	36.7500	Hama	2	hamath-zobah	469
Hammath 1	32.7664	35.5506	Hamat Tiberias	1	hammath-1	603
Hammath 2	32.7664	35.5506	Hamat Tiberias	1	hammath-2	97
Hammon 1	33.1281	35.1520	Umm el Awamid	1	hammon-1	752
Hammon 2	32.7664	35.5506	Hamat Tiberias	1	hammon-2	455
Hammoth-dor	32.7664	35.5506	Hamat Tiberias	1	hammoth-dor	483
Hamonah	31.7539	35.7152	Abarim	1	hamonah	229
Hanes	29.0856	30.9344	Ihnasiyyah al Madinah	1	hanes	483
Hannathon	32.7856	35.2569	Tel Hanaton	1	hannathon	847
Hapharaim	32.6039	35.4466	Et Taiyibeh	1	hapharaim	423
Hara	36.8268	40.0397	Tell Halaf	1	hara	151
Haradah	30.5066	34.3036	Wadi Lussan	2	haradah	176
Haran	36.8644	39.0328	Harran	12	haran	922
Harhar	35.3097	46.9989	Sarandaj	0	harhar	269
Harim	32.1882	34.8067	Al Haram	7	harim	66
Harmon	33.4000	35.8500	Mount Hermon	1	harmon	259
Harod 1	32.5486	35.3558	Well of Harod	1	harod-1	722
Harod 2	31.7333	35.2721	Khirbet el Harazan	2	harod-2	460
Harosheth-hagoyim	32.7589	35.0903	Tel Regev	3	harosheth-hagoyim	104
Hashmonah	30.6689	34.3667	Qoseimeh	2	hashmonah	121
Hatti	40.0197	34.6153	Hattusa	0	hatti	1000
Hauran	32.7301	36.3681	Hauran	2	hauran	1000
Havilah 1	32.5433	44.4222	Babylon	1	havilah-1	328
Havilah 2	23.0000	46.0000	Arabian Peninsula	1	havilah-2	519
Havilah 3	23.0000	46.0000	Arabian Peninsula	1	havilah-3	469
Havvoth-jair	32.5876	35.7256	Qamm	6	havvoth-jair	167
Hazar-addar	30.5834	34.4841	Ein Qedeis	1	hazar-addar	453
Hazar-enan	34.2294	37.2406	Al Qaryatayn	4	hazar-enan	576
Hazar-gaddah	31.2447	34.8408	Tel Beer Sheva	1	hazar-gaddah	353
Hazar-shual	31.2447	34.8408	Tel Beer Sheva	4	hazar-shual	351
Hazar-susah	31.3445	34.9014	Khirbet esh Shamsaniyat	2	hazar-susah	354
Hazazon-tamar 1	30.8087	35.2459	En Hazeva	1	hazazon-tamar-1	325
Hazazon-tamar 2	31.4500	35.3833	Ein Gedi	1	hazazon-tamar-2	1000
Hazer-hatticon	34.2294	37.2406	Al Qaryatayn	1	hazer-hatticon	278
Hazeroth	28.8969	34.4217	Ain el Khadra	6	hazeroth	481
Hazor 1	33.0183	35.5692	Tel Hazor	11	hazor-1	928
Hazor 2	30.7228	34.6452	El Jebariyeh	1	hazor-2	311
Hazor 3	31.3450	35.1244	Khirbet el Qaryatein	1	hazor-3	245
Hazor 4	31.8322	35.1955	Khirbet Hazzur	1	hazor-4	541
Hazor 5	29.8114	39.8683	Dumat al Jandal	3	hazor-5	600
Hazor-hadattah	31.3733	35.2336	Har Hezron	1	hazor-hadattah	381
Hebron	31.5251	35.1022	Tel Rumeida	62	hebron	1000
Helam	32.7500	36.2408	Alma	2	helam	335
Helbah	33.3178	35.2434	Khirbet al Mahalib	1	helbah	275
Helbon	33.6667	36.2500	Halbun	1	helbon	750
Helech	36.9130	34.8921	Tarsus	1	helech	460
Heleph	32.7247	35.4138	Khirbet Irbadeh	2	heleph	577
Heliopolis	30.1294	31.3075	Ain Shams	5	heliopolis	1000
Helkath	32.6853	35.1097	Tel Qashish	2	helkath	377
Helkath-hazzurim	31.8475	35.1834	El Jib	1	helkath-hazzurim	912
Hena	34.3686	41.9819	Anah	3	hena	318
Hepher	32.4428	35.2177	Tell el Muhaffar	2	hepher	455
Heracleopolis Magna	29.0856	30.9344	Ihnasiyyah al Madinah	0	heracleopolis-magna	1000
Heracleopolis Parva	30.9781	32.1756	Tell Belim	0	heracleopolis-parva	1000
Heres	31.9547	35.9343	Transjordan	1	heres	165
Hereth	31.6141	35.0431	Kharas	1	hereth	356
Herod’s palace	31.7761	35.2280	Herod’s palace in Jerusalem	0	herods-palace	1000
Heshbon	31.8008	35.8091	Tell Hesban	37	heshbon	433
Heshmon	31.3099	34.9078	Tell es Saqati	1	heshmon	231
Hethlon	34.6031	36.1336	Haitla	2	hethlon	465
Hezron	30.6483	34.4222	Ain el Qudeirat	1	hezron	523
Hierapolis	37.9266	29.1274	Hierapolis	1	hierapolis	1000
Hilakku	36.9130	34.8921	Tarsus	0	hilakku	1000
Hobah	34.2500	37.0667	Hoba	1	hobah	158
Holon 1	31.6622	35.0305	Khirbet Alin	3	holon-1	153
Holon 2	31.1806	35.7014	Kerak	1	holon-2	489
Holy Place 2	31.7778	35.2356	Mount Moriah	23	holy-place-2	1000
Hor-haggidgad	30.1142	34.7115	Wadi Khadakhid	3	hor-haggidgad	317
Horem	33.1745	35.3766	Hariss	1	horem	79
Horesh	31.4503	35.1274	Khirbet Khureise	4	horesh	327
Hormah	31.2123	34.9583	Tel Masos	9	hormah	449
Horonaim 1	31.0900	35.6419	El Iraq	4	horonaim-1	273
Horonaim 2	31.8950	35.0836	Beit Ur al Tahta	1	horonaim-2	486
Horse Gate	31.7767	35.2342	Jerusalem	3	horse-gate	1000
Hosah	33.2367	35.2152	Tell Rachidiyeh	1	hosah	629
House of the Forest of Lebanon	31.7767	35.2342	Jerusalem	6	house-of-the-forest-of-lebanon	1000
Hukkok	32.8643	35.2634	Khirbet el Jemeijimeh	1	hukkok	283
Hukok	32.7589	35.0903	Tel Regev	1	hukok	201
Humtah	31.5251	35.1022	Tel Rumeida	1	humtah	795
Hushah	31.7118	35.1324	Husan	6	hushah	409
Ibleam	32.4462	35.2920	Khirbet Belameh	4	ibleam	860
Iconium	37.8722	32.4923	Konya	6	iconium	1000
Idalah	32.7258	35.1834	Khirbet el Huwarah	1	idalah	721
Idumea	31.5251	35.1022	Tel Rumeida	1	idumea	1000
Iim	31.3648	34.9206	Deir al Ghawi	1	iim	518
Ijon	33.3453	35.5900	Tell Dibbine	3	ijon	661
Illyricum	43.5394	16.4831	Salona	1	illyricum	1000
Immer	32.5433	44.4222	Babylon	2	immer	1007
India	23.9944	67.4308	Indus River	2	india	1000
Iphtah	31.5746	35.0124	Tarqumiyeh	1	iphtah	185
Ir-moab	31.2809	35.7595	Misna	1	ir-moab	248
Ir-nahash	31.6157	34.9217	Dayr Nakhkhas	1	ir-nahash	292
Ir-shemesh	31.7506	34.9747	Tel Bet Shemesh	1	ir-shemesh	864
Irpeel	31.8706	35.1922	Rafat	1	irpeel	198
Italy	41.8922	12.4852	Rome	4	italy	1000
Ithlah	31.8411	35.0236	Yalo	1	ithlah	281
Ithnan	30.6127	34.7325	Mesudat Har Hemet	1	ithnan	179
Ituraea	33.4000	35.8500	Mount Hermon	1	ituraea	1000
Ivvah	34.6847	36.6906	Kafr Aya	3	ivvah	110
Iye-abarim	30.9560	35.7795	Medeineh	3	iye-abarim	403
Jaar	31.8090	35.1038	Deir el Azar	1	jaar	534
Jabbok	32.1153	35.5431	Zarqa River	7	jabbok	1000
Jabesh-gilead	32.4024	35.6823	Tell el Maqlub	20	jabesh-gilead	698
Jabez	31.7043	35.2076	Bethlehem	1	jabez	369
Jabneel 1	31.8660	34.7463	Yibna	2	jabneel-1	775
Jabneel 2	32.7133	35.5125	Tel Yin’am	1	jabneel-2	753
Jagur	31.2328	34.9867	Tel Ira	1	jagur	650
Jahaz	31.5883	35.9079	Khirbet el Medeiyineh	9	jahaz	444
Janim	31.5159	35.1642	Bani Nai’im	1	janim	488
Janoah 1	32.1580	35.3613	Khirbet Yanun	2	janoah-1	645
Janoah 2	33.2602	35.3026	Yanouh	1	janoah-2	321
Janua	32.4865	35.2353	Yamun	0	janua	482
Japhia	32.6870	35.2754	Yafa	1	japhia	685
Jarmuth 1	31.7083	34.9750	Tel Yarmuth	6	jarmuth-1	1000
Jarmuth 2	32.5956	35.5214	Kokab el Hawa	1	jarmuth-2	285
Jattir	31.3525	35.0161	Khirbet Attir	6	jattir	1000
Javan	38.2000	27.5000	Ionia	2	javan	1000
Jazer	31.9445	35.8301	Khirbet Sara	13	jazer	281
Jebus	31.7767	35.2342	Jerusalem	7	jebus	805
Jehud	32.0308	34.8903	Yehud	1	jehud	805
Jericho 1	31.8717	35.4446	Tell es Sultan	63	jericho-1	1000
Jericho 2	31.8519	35.4362	Tell el Alayiq	5	jericho-2	1000
Jeruel	31.5797	35.3092	Jeruel	1	jeruel	1000
Jerusalem	31.7767	35.2342	Jerusalem	955	jerusalem	1000
Jeshanah	31.9986	35.2603	Burj el Isaneh	1	jeshanah	1000
Jeshimon	31.4703	35.2228	Zahrat al Kula	6	jeshimon	463
Jeshua	31.2764	34.9903	Tel Yeshua	1	jeshua	525
Jezreel 1	31.4478	35.0900	Yatta	1	jezreel-1	471
Jezreel 2	32.5579	35.3280	Tel Yizre’el	29	jezreel-2	806
Jezreel 3	31.4478	35.0900	Yatta	6	jezreel-3	273
Jogbehah	32.0135	35.8558	Khirbet Jubeiha	2	jogbehah	656
Jokdeam	31.4620	35.1185	Khirbet er Raqqa	1	jokdeam	419
Jokmeam 1	32.6641	35.1083	Tel Yokneam	1	jokmeam-1	186
Jokmeam 2	32.1399	35.4850	Tel al Mazar	1	jokmeam-2	300
Jokneam	32.6641	35.1083	Tel Yokneam	4	jokneam	1000
Joktheel 1	31.5653	34.8492	Tell ed Duweir	1	joktheel-1	571
Joppa	32.0545	34.7530	Jaffa	14	joppa	1000
Jordan	31.7614	35.5583	Jordan River	202	jordan	1000
Jordan Valley	32.3172	35.5700	Jordan Valley	8	jordan-valley	1000
Jorkeam	31.4620	35.1185	Khirbet er Raqqa	1	jorkeam	135
Jotbah	32.8319	35.2781	Khirbet Shifat	1	jotbah	637
Jotbathah	29.4925	34.8969	Taba	3	jotbathah	352
Judea 1	31.7767	35.2342	Jerusalem	52	judea-1	1000
Judea 2	31.7767	35.2342	Jerusalem	2	judea-2	1000
Juttah	31.4478	35.0900	Yatta	3	juttah	771
Kabzeel	31.2862	34.9323	Khirbet Hora	4	kabzeel	162
Kadesh 2	34.5578	36.5196	Tell Nebi Mend	1	kadesh-2	542
Kadesh-barnea	30.6483	34.4222	Ain el Qudeirat	24	kadesh-barnea	864
Kain	31.4963	35.1515	Khirbet Bani Dar	2	kain	565
Kamon	32.5876	35.7256	Qamm	1	kamon	167
Kanah 1	32.1270	34.8954	Wadi Qana	2	kanah-1	661
Kanah 2	33.2092	35.2992	Qana	1	kanah-2	842
Karka	30.6667	34.3667	Ain Qoseimeh	1	karka	542
Karkor	31.3631	37.5428	Al Qarqar	1	karkor	298
Karnaim	32.8358	36.0350	Al Shaykh Saad	1	karnaim	760
Kartah	33.1119	35.4625	Khirbet el Qureiyeh	2	kartah	104
Kartan	33.1119	35.4625	Khirbet el Qureiyeh	1	kartan	397
Kattath	32.6256	35.0322	Khirbet Qutteina	1	kattath	123
Kedar	29.8114	39.8683	Dumat al Jandal	9	kedar	1000
Kedemoth	31.5318	35.8803	Aleiyan	4	kedemoth	251
Kedesh 1	33.1116	35.5295	Tel Kedesh	4	kedesh-1	599
Kedesh 2	30.6483	34.4222	Ain el Qudeirat	1	kedesh-2	384
Kedesh 3	32.5595	35.2160	Tell Abu Qedeis	1	kedesh-3	316
Kedesh 4	32.7350	35.5555	Khirbet Qedish	3	kedesh-4	276
Kedesh 5	33.1116	35.5295	Tel Kedesh	2	kedesh-5	574
Kedesh-naphtali	32.7350	35.5555	Khirbet Qedish	1	kedesh-naphtali	365
Kehelathah	30.1931	34.4211	Kuntillet Ajrud	2	kehelathah	80
Keilah	31.6137	35.0036	Khirbet Qila	15	keilah	815
Kenath	32.7562	36.6190	Qanawat	2	kenath	798
Kerioth	31.5406	35.6861	Al Qurayyat	3	kerioth	557
Kerioth-hezron	31.3450	35.1244	Khirbet el Qaryatein	1	kerioth-hezron	316
Kibroth-hattaavah	28.7887	34.2754	Erweis el Ebeirig	5	kibroth-hattaavah	405
Kibzaim	32.1399	35.4850	Tel al Mazar	1	kibzaim	123
Kidron	31.7803	35.2400	Kidron River	14	kidron	1000
Kinah	31.2092	35.1657	Horbat Uza	1	kinah	259
King’s Highway	31.9547	35.9343	King’s Highway	2	kings-highway	1000
King’s Valley	31.7672	35.2360	intersection of Kidron Valley and Valley of Hinnom	2	kings-valley	456
Kir 1	33.1236	45.9314	Der	4	kir-1	465
Kir 2	31.1806	35.7014	Kerak	1	kir-2	606
Kir-hareseth	31.1806	35.7014	Kerak	5	kir-hareseth	805
Kiriath-huzoth	31.5022	35.7766	Tall Dhiban	1	kiriath-huzoth	215
Kiriath-jearim	31.8090	35.1038	Deir el Azar	19	kiriath-jearim	1000
Kiriathaim 1	31.7491	35.7439	Khirbet al Mukhayyat	5	kiriathaim-1	306
Kiriathaim 2	33.1119	35.4625	Khirbet el Qureiyeh	1	kiriathaim-2	268
Kishion	32.6614	35.3931	Tell Qisyon	2	kishion	447
Kishon	32.8167	35.0333	Kishon River	5	kishon	854
Kitron	32.6256	35.0322	Khirbet Qutteina	1	kitron	204
Kittim	35.0000	33.0000	Cyprus	2	kittim	1000
Koa	34.3875	47.1321	Kermanshah	1	koa	501
Kue	37.0000	35.3250	Adana	2	kue	865
Kumidi	33.6238	35.8210	Kamid el Loz	0	kumidi	1000
Laash	35.1365	36.7500	Hama	0	laash	878
Laban	31.2319	34.1067	Tel Abu Seleimeh	1	laban	162
Lachish	31.5653	34.8492	Tell ed Duweir	22	lachish	1000
Lahmam	31.5718	34.8960	Horbat Lehem	1	lahmam	387
Laishah	31.7986	35.2483	Isawiya	1	laishah	239
Lakkum	32.6983	35.5519	Horbat Kush	1	lakkum	449
Laodicea	37.8358	29.1075	Laodicea on the Lycus	6	laodicea	1000
Lasea	34.9406	24.8111	Lasaea	1	lasea	1000
Lasha	31.5970	35.5593	Callirrhoe	1	lasha	335
Lasharon	32.4000	34.8830	Sharon Plain	1	lasharon	467
Leb-kamai	30.9622	46.1044	Tell el Muqayyar	1	leb-kamai	1000
Lebanon	33.5400	35.5836	Jezzine	57	lebanon	1000
Lebaoth	31.0067	34.4918	Jebel el Biri	1	lebaoth	429
Lebo-hamath	34.1949	36.3496	Labweh	12	lebo-hamath	738
Lebonah	32.0591	35.2498	Khan el Lubban	1	lebonah	497
Lehem	31.7043	35.2076	Bethlehem	1	lehem	316
Lehi	31.7488	35.0010	Khirbet es Siyyagh	4	lehi	470
Libnah 1	31.6299	34.8735	Tell Bornat	16	libnah-1	381
Libnah 2	29.9932	34.7040	Wadi el Beidha	2	libnah-2	129
Libya	32.8209	21.8512	Cyrene	3	libya	1000
Lo-debar	32.6839	35.6299	Tel Dover	4	lo-debar	172
Lod	31.9500	34.9000	Lod	7	lod	1000
Lower Beth-horon	31.8950	35.0836	Beit Ur al Tahta	5	lower-beth-horon	1000
Lower Gulloth	31.4321	35.0149	Khirbet Rabud	2	lower-gulloth	775
Lower Pool	31.7767	35.2342	Jerusalem	1	lower-pool	1000
Lud 1	38.4883	28.0403	Sardis	2	lud-1	1000
Lud 2	38.4883	28.0403	Sardis	2	lud-2	401
Luhith	31.1379	35.6222	Kathrabba	2	luhith	578
Luz 1	31.9228	35.2414	Beitin	6	luz-1	716
Luz 2	33.4603	35.5356	Luweizeh	1	luz-2	372
Lycaonia	38.0000	33.0000	Lycaonia	2	lycaonia	1000
Lycia	36.7333	29.9000	Lycia	1	lycia	1000
Lydia	38.4883	28.0403	Sardis	0	lydia	1000
Lystra	37.6017	32.3384	Tel Lystra	6	lystra	1000
Maacah	33.2581	35.5810	Tel Abel Beth Maacah	8	maacah	756
Maarath	31.6207	35.1135	Khirbet Qufin	1	maarath	402
Maareh-geba	31.8231	35.2307	Tel el Ful	1	maareh-geba	669
Macedonia	41.6000	22.5400	Macedonia	24	macedonia	1000
Machbenah	31.5542	34.8968	Khirbet Hebra	1	machbenah	29
Machpelah	31.5247	35.1108	Cave of the Patriarchs	6	machpelah	1000
Madiama	28.4947	35.0122	Al Bad	0	madiama	1000
Madmannah	31.3503	34.9286	Khirbet Tatrit	2	madmannah	554
Madmen	31.2918	35.7048	Dimnah	1	madmen	341
Madmenah	31.8201	35.2232	Shufat	1	madmenah	216
Madon	33.0768	35.4324	Tell el Khirbeh	2	madon	146
Magadan	32.8271	35.5136	Majdal	1	magadan	616
Magbish	31.6382	34.9532	Khirbet el Makhbiyeh	1	magbish	249
Magdala	32.8271	35.5136	Majdal	0	magdala	1000
Magdalsenna	31.9662	35.4718	Khirbat al Beiyudat	0	magdalsenna	191
Magdolum	30.9648	32.4929	Tell el Herr	0	magdolum	430
Magog	38.4883	28.0403	Sardis	3	magog	387
Mahalab	33.3178	35.2434	Khirbet al Mahalib	1	mahalab	409
Mahanaim	32.1857	35.6867	Tell edh Dhahab el Gharbi	16	mahanaim	654
Mahaneh-dan 1	31.7780	34.9989	between Eshtaol and Zorah	1	mahaneh-dan-1	789
Mahaneh-dan 2	31.7780	34.9989	between Eshtaol and Zorah	1	mahaneh-dan-2	348
Makaz	31.8270	34.9322	Deir Muheisin	1	makaz	162
Makheloth	30.1931	34.4211	Kuntillet Ajrud	2	makheloth	145
Makkedah	31.5347	34.9666	Khirbet el Qom	8	makkedah	440
Malta	35.9335	14.4117	Malta	1	malta	1000
Mamre	31.5565	35.1053	Ramat el Khalil	6	mamre	667
Manahath	31.7537	35.1890	El Malha	1	manahath	504
Maon	31.4094	35.1338	Tel Main	3	maon	1000
Marah	29.3460	32.9428	Ain Hawarah	5	marah	384
Mareal	32.6543	35.1687	Tell Thorah	1	mareal	482
